"%s and greater","%s şi mai mari"
"Advanced Search","Căutare avansat"
"All","Toate"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Site map autogenerat"
"Catalog Advanced Search","Căutare avansată în catalog produse"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Go to Home Page","Mergi la prima pagina"
"Grid","Tabel"
"Home","Home"
"List","Lista"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Cauta altceva"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Căutări frecvente"
"Popular search terms","Căutări frecvente"
"Relevance","Relevance"
"Required Fields","Câmpuri obligatorii"
"Results","Rezultate"
"Search","Caută"
"Search Settings","Setări căutare"
"Search Site","Caută pe site"
"Search Terms","Căutari frecvente"
"Search Type","Search Type"
"Search entire store here...","Caută în magazin..."
"Search results for '%s'","Rezultatele căutării '%s'"
"Search results for: '%s'","Rezultatele căutării: '%s'"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","Nu există căutari frecvente."
"Yes","Yes"
"You have to specify at least one search term","Trebuie să specifici măcar un termen de căutare"
"Your search returns no results.","Nu au fost găsite rezultate relevante pentru cuvintele introduse."
"up to %s","pina la %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
"Search products...","Caută..."
"There are no products matching the selection.","Nu există produse conform criteriilor selectate."